State,Homicides
 Alabama,8.7
 Alaska,6.9
 Arizona,4.9
 Arkansas,7.3
 California,4.5
 Colorado,4.5
 Connecticut,2.4
 Delaware,5.7
 Florida,3.9
 Georgia,6.9
 Hawaii,1.6
 Idaho,1.6
 Illinois,5.8
 Indiana,5.5
 Iowa,2.1
 Kansas,3.8
 Kentucky,6.1
 Louisiana,10.8
 Maine,2.3
 Maryland,7.2
 Massachusetts,1.8
 Michigan,5.2
 Minnesota,2.9
 Mississippi,74
 Missouri,7.8
 Montana,2.7
 Nebraska,2.1
 Nevada,6.1
 New Hampshire,1
 New Jersey,2.3
 New Mexico,10.5
 New York,2.7
 North Carolina,7.5
 North Dakota,2.6
 Ohio,5
 Oklahoma,2.1
 Oregon,7.5
 Pennsylvania,4.7
 Rhode Island,7.9
 South Carolina,5.2
 South Dakota,5
 Tennessee,2.6
 Texas,5.2
 Utah,2.6
 Vermont,3.4
 Virginia,4.8
 Washington,3.8
 West Virginia,5.3
 Wisconsin,4.2
 Wyoming,2.4