State,Robbery
 Alabama,34
 Alaska,82
 Arizona,64.6
 Arkansas,38.6
 California,119.1
 Colorado,63
 Connecticut,38.1
 Delaware,47
 Florida,38.2
 Georgia,40.8
 Hawaii,41.3
 Idaho,7
 Illinois,90.2
 Indiana,34.5
 Iowa,18.7
 Kansas,30.9
 Kentucky,35.1
 Louisiana,39.4
 Maine,11
 Maryland,123.2
 Massachusetts,36
 Michigan,31.3
 Minnesota,48.9
 Mississippi,18.5
 Missouri,51.5
 Montana,19.1
 Nebraska,20.5
 Nevada,63.1
 New Hampshire,12.6
 New Jersey,49.3
 New Mexico,65.3
 New York,96.1
 North Carolina,50.2
 North Dakota,27.4
 Ohio,45.5
 Oklahoma,38.2
 Oregon,57
 Pennsylvania,51.4
 Rhode Island,22.2
 South Carolina,35.1
 South Dakota,22.6
 Tennessee,58.4
 Texas,63.5
 Utah,27.3
 Vermont,14.2
 Virginia,33.1
 Washington,67.5
 West Virginia,9.7
 Wisconsin,39.4
 Wyoming,7.1