passenger_class,age,sex,survive
1st,29,female,yes
1st,2,female,no
1st,30,male,no
1st,25,female,no
1st,0.9167,male,yes
1st,47,male,yes
1st,63,female,yes
1st,39,male,no
1st,58,female,yes
1st,71,male,no
1st,47,male,no
1st,19,female,yes
1st,,female,yes
1st,,male,yes
1st,,male,no
1st,50,female,yes
1st,24,male,no
1st,36,male,no
1st,37,male,yes
1st,47,female,yes
1st,26,male,yes
1st,25,male,no
1st,25,male,yes
1st,19,female,yes
1st,28,male,yes
1st,45,male,no
1st,39,male,yes
1st,30,female,yes
1st,58,female,yes
1st,,male,no
1st,45,female,yes
1st,22,female,yes
1st,,male,yes
1st,41,male,no
1st,48,male,no
1st,,male,no
1st,44,female,yes
1st,59,female,yes
1st,60,female,yes
1st,45,male,no
1st,,male,yes
1st,53,female,yes
1st,58,female,yes
1st,36,male,yes
1st,33,male,no
1st,,male,no
1st,,male,no
1st,36,male,yes
1st,36,female,yes
1st,14,female,yes
1st,11,male,yes
1st,49,male,no
1st,,female,yes
1st,36,male,no
1st,,female,yes
1st,46,male,no
1st,47,female,yes
1st,27,male,yes
1st,31,female,yes
1st,,female,yes
1st,,male,yes
1st,,female,yes
1st,,male,no
1st,27,male,no
1st,26,female,yes
1st,,male,no
1st,,male,no
1st,64,female,yes
1st,37,male,no
1st,39,female,yes
1st,55,female,yes
1st,,male,no
1st,70,male,no
1st,69,female,yes
1st,36,female,yes
1st,39,male,no
1st,38,female,yes
1st,,male,yes
1st,27,male,yes
1st,31,male,no
1st,27,female,yes
1st,,female,yes
1st,31,male,yes
1st,17,female,yes
1st,,male,yes
1st,,female,yes
1st,4,male,yes
1st,27,female,yes
1st,50,male,no
1st,48,female,yes
1st,49,male,yes
1st,48,female,yes
1st,39,male,no
1st,23,female,yes
1st,53,female,yes
1st,36,female,no
1st,,female,yes
1st,,male,yes
1st,30,male,no
1st,24,female,yes
1st,19,male,no
1st,28,female,yes
1st,23,female,yes
1st,64,male,no
1st,60,female,yes
1st,,male,no
1st,49,male,yes
1st,,female,yes
1st,44,male,yes
1st,22,female,yes
1st,60,male,yes
1st,48,female,yes
1st,37,male,no
1st,35,female,yes
1st,47,male,no
1st,22,female,yes
1st,45,female,yes
1st,49,male,yes
1st,,female,yes
1st,71,male,no
1st,54,male,yes
1st,38,male,no
1st,19,female,yes
1st,58,female,yes
1st,45,female,yes
1st,23,male,yes
1st,46,male,no
1st,25,male,yes
1st,21,female,yes
1st,48,male,yes
1st,49,female,yes
1st,45,male,no
1st,36,female,yes
1st,,male,yes
1st,55,male,no
1st,52,female,yes
1st,24,female,yes
1st,,male,no
1st,,male,no
1st,,male,no
1st,16,female,yes
1st,44,female,yes
1st,51,female,yes
1st,42,male,no
1st,35,female,yes
1st,35,male,yes
1st,38,male,yes
1st,35,female,yes
1st,,male,no
1st,50,female,no
1st,49,male,yes
1st,46,male,no
1st,,male,no
1st,58,male,no
1st,41,male,no
1st,,female,yes
1st,42,male,yes
1st,40,female,yes
1st,,male,no
1st,,female,yes
1st,,male,no
1st,42,male,no
1st,55,female,yes
1st,50,female,yes
1st,16,female,yes
1st,,male,no
1st,29,male,no
1st,21,female,yes
1st,30,male,no
1st,15,female,yes
1st,30,male,no
1st,,male,yes
1st,,male,no
1st,,female,yes
1st,46,male,no
1st,54,male,no
1st,36,male,yes
1st,28,male,no
1st,,female,yes
1st,65,male,no
1st,33,female,yes
1st,44,male,no
1st,37,female,yes
1st,,male,yes
1st,55,male,no
1st,47,male,no
1st,36,male,no
1st,58,male,no
1st,31,female,yes
1st,23,female,yes
1st,19,female,yes
1st,64,male,no
1st,,male,yes
1st,64,male,no
1st,22,female,yes
1st,28,male,no
1st,,male,no
1st,,male,no
1st,22,male,no
1st,,male,no
1st,,female,yes
1st,18,male,no
1st,17,female,yes
1st,52,male,yes
1st,46,male,no
1st,56,female,yes
1st,,male,no
1st,,male,yes
1st,43,female,yes
1st,31,male,no
1st,,male,yes
1st,,male,no
1st,33,female,yes
1st,,male,no
1st,27,female,yes
1st,55,male,no
1st,54,female,yes
1st,,male,no
1st,61,male,no
1st,48,female,yes
1st,18,female,yes
1st,13,male,yes
1st,21,female,yes
1st,,male,yes
1st,,male,yes
1st,,female,yes
1st,34,male,yes
1st,40,female,yes
1st,36,male,yes
1st,50,male,no
1st,39,female,yes
1st,56,male,yes
1st,28,male,yes
1st,56,male,no
1st,56,male,no
1st,24,male,no
1st,18,female,yes
1st,,male,no
1st,24,male,yes
1st,23,female,yes
1st,45,male,yes
1st,40,female,yes
1st,6,male,yes
1st,57,male,no
1st,,female,yes
1st,32,male,yes
1st,62,male,no
1st,54,male,yes
1st,43,female,yes
1st,52,female,yes
1st,,male,no
1st,62,female,yes
1st,67,male,no
1st,63,female,no
1st,61,male,no
1st,46,female,yes
1st,52,male,no
1st,39,female,yes
1st,18,female,yes
1st,48,male,yes
1st,,female,yes
1st,49,male,no
1st,39,female,yes
1st,17,male,yes
1st,46,male,no
1st,,female,yes
1st,31,male,yes
1st,,male,no
1st,61,male,no
1st,47,male,no
1st,64,male,no
1st,60,female,yes
1st,60,male,no
1st,55,female,yes
1st,54,male,no
1st,21,male,no
1st,57,male,no
1st,45,female,yes
1st,31,female,yes
1st,50,male,no
1st,50,female,yes
1st,27,male,no
1st,20,female,yes
1st,51,male,no
1st,,male,no
1st,21,male,yes
1st,,male,yes
1st,,male,no
1st,36,female,yes
1st,,female,yes
1st,,female,yes
1st,,female,yes
1st,,female,yes
1st,,female,yes
1st,,female,yes
1st,,female,yes
1st,,female,yes
1st,,female,yes
1st,,female,yes
1st,,male,no
1st,,female,no
1st,,female,yes
1st,,male,no
1st,,female,yes
1st,,male,no
1st,,male,no
1st,40,male,no
1st,,male,no
1st,,female,yes
1st,32,male,no
1st,,female,yes
1st,,female,yes
1st,,male,no
1st,,female,yes
1st,,female,no
1st,,female,yes
1st,33,male,no
1st,,male,no
1st,,female,yes
1st,,female,no
1st,,female,no
1st,,female,yes
2nd,30,male,no
2nd,28,female,yes
2nd,18,male,no
2nd,,male,no
2nd,34,male,no
2nd,32,female,yes
2nd,57,male,no
2nd,18,male,no
2nd,23,male,no
2nd,36,female,yes
2nd,28,male,no
2nd,51,male,no
2nd,32,male,yes
2nd,19,female,yes
2nd,28,male,no
2nd,36,female,yes
2nd,4,female,yes
2nd,1,male,yes
2nd,12,female,yes
2nd,34,male,yes
2nd,19,female,yes
2nd,23,male,no
2nd,26,male,no
2nd,,male,no
2nd,27,male,no
2nd,15,female,yes
2nd,45,male,no
2nd,40,female,yes
2nd,20,female,yes
2nd,25,male,no
2nd,36,female,yes
2nd,25,male,no
2nd,,male,no
2nd,42,female,yes
2nd,26,male,yes
2nd,26,female,yes
2nd,0.8333,male,yes
2nd,31,female,yes
2nd,,male,no
2nd,19,male,no
2nd,54,male,no
2nd,44,female,no
2nd,52,male,no
2nd,30,male,no
2nd,30,female,no
2nd,,female,yes
2nd,,female,yes
2nd,29,male,no
2nd,,female,yes
2nd,29,male,no
2nd,27,male,no
2nd,24,male,yes
2nd,35,male,no
2nd,31,female,yes
2nd,8,female,yes
2nd,22,female,no
2nd,30,female,no
2nd,,female,no
2nd,20,male,no
2nd,,male,no
2nd,21,male,no
2nd,49,female,yes
2nd,8,male,yes
2nd,28,female,yes
2nd,18,male,no
2nd,,male,no
2nd,28,male,no
2nd,22,female,yes
2nd,25,male,no
2nd,18,male,no
2nd,32,female,yes
2nd,18,female,yes
2nd,,male,no
2nd,42,male,no
2nd,34,female,yes
2nd,8,male,yes
2nd,,female,yes
2nd,,female,yes
2nd,23,male,no
2nd,21,male,no
2nd,19,male,no
2nd,,male,no
2nd,,female,yes
2nd,,male,no
2nd,38,male,no
2nd,,male,no
2nd,38,female,no
2nd,35,male,no
2nd,35,male,no
2nd,38,male,no
2nd,24,female,yes
2nd,16,male,no
2nd,26,male,no
2nd,45,male,no
2nd,24,male,no
2nd,21,male,no
2nd,22,male,no
2nd,,male,no
2nd,34,male,no
2nd,30,male,no
2nd,50,male,no
2nd,30,male,no
2nd,23,female,yes
2nd,1,male,yes
2nd,44,male,no
2nd,28,male,no
2nd,6,female,yes
2nd,30,male,yes
2nd,,male,no
2nd,43,male,no
2nd,45,female,yes
2nd,7,female,yes
2nd,24,female,yes
2nd,24,female,yes
2nd,49,male,no
2nd,48,female,yes
2nd,,female,yes
2nd,34,male,no
2nd,32,male,no
2nd,21,male,no
2nd,18,female,no
2nd,53,female,yes
2nd,23,male,no
2nd,21,female,yes
2nd,,male,no
2nd,52,male,no
2nd,42,male,no
2nd,36,female,yes
2nd,21,male,no
2nd,41,male,yes
2nd,,male,no
2nd,,female,no
2nd,33,male,no
2nd,17,female,yes
2nd,,male,no
2nd,,female,yes
2nd,,male,no
2nd,,male,no
2nd,,male,no
2nd,,male,no
2nd,23,female,yes
2nd,34,male,no
2nd,,female,yes
2nd,22,female,no
2nd,,male,no
2nd,,female,yes
2nd,45,female,yes
2nd,,male,no
2nd,,male,no
2nd,31,male,no
2nd,30,male,no
2nd,26,female,no
2nd,,male,no
2nd,34,female,yes
2nd,26,male,no
2nd,22,female,yes
2nd,1,female,yes
2nd,3,female,yes
2nd,,female,yes
2nd,,female,yes
2nd,,male,no
2nd,25,male,no
2nd,,male,no
2nd,48,male,no
2nd,,female,yes
2nd,57,female,no
2nd,,male,no
2nd,,male,no
2nd,,female,yes
2nd,2,male,yes
2nd,,male,no
2nd,27,male,no
2nd,19,female,yes
2nd,30,male,no
2nd,20,male,no
2nd,45,male,no
2nd,,male,no
2nd,46,male,no
2nd,41,female,yes
2nd,13,female,yes
2nd,19,male,yes
2nd,30,male,no
2nd,48,male,no
2nd,71,male,no
2nd,54,male,no
2nd,,male,no
2nd,,male,no
2nd,64,male,no
2nd,32,male,no
2nd,18,female,yes
2nd,2,male,yes
2nd,32,male,no
2nd,3,male,yes
2nd,26,male,no
2nd,19,male,no
2nd,,male,no
2nd,20,male,yes
2nd,29,female,yes
2nd,39,male,no
2nd,22,male,yes
2nd,,male,yes
2nd,24,male,no
2nd,,male,yes
2nd,28,male,no
2nd,,male,no
2nd,50,female,yes
2nd,20,male,no
2nd,40,male,no
2nd,42,female,yes
2nd,21,male,no
2nd,32,female,yes
2nd,34,male,no
2nd,,male,yes
2nd,,male,no
2nd,33,female,yes
2nd,2,female,yes
2nd,8,female,yes
2nd,36,male,no
2nd,34,male,no
2nd,30,female,yes
2nd,28,female,yes
2nd,23,male,no
2nd,0.8333,male,yes
2nd,25,female,yes
2nd,3,male,yes
2nd,50,female,yes
2nd,,male,no
2nd,21,female,yes
2nd,,male,no
2nd,,male,no
2nd,25,female,yes
2nd,18,female,yes
2nd,20,female,yes
2nd,30,female,yes
2nd,59,male,no
2nd,30,female,yes
2nd,35,male,no
2nd,22,male,no
2nd,,female,yes
2nd,25,male,no
2nd,41,male,no
2nd,25,male,no
2nd,14,male,no
2nd,50,female,yes
2nd,22,male,no
2nd,,female,yes
2nd,27,female,yes
2nd,29,male,no
2nd,27,female,no
2nd,30,male,no
2nd,22,male,no
2nd,35,female,yes
2nd,30,male,no
2nd,28,female,yes
2nd,23,male,no
2nd,,male,no
2nd,12,female,yes
2nd,40,female,yes
2nd,36,female,yes
2nd,28,male,no
2nd,32,female,yes
2nd,29,female,yes
2nd,4,female,yes
2nd,2,male,yes
2nd,,female,yes
2nd,,female,yes
2nd,36,male,no
2nd,33,female,yes
2nd,,male,no
2nd,,male,no
2nd,,male,no
2nd,32,male,yes
2nd,,female,yes
2nd,,male,yes
2nd,26,female,yes
2nd,,female,no
2nd,30,male,no
2nd,24,female,yes
2nd,,male,no
2nd,18,male,no
3rd,42,male,no
3rd,13,male,no
3rd,16,male,no
3rd,35,female,yes
3rd,16,female,yes
3rd,25,male,yes
3rd,18,female,yes
3rd,20,male,yes
3rd,30,male,no
3rd,26,male,no
3rd,40,female,no
3rd,24,male,no
3rd,41,male,no
3rd,18,female,yes
3rd,0.8333,male,yes
3rd,23,male,no
3rd,20,male,no
3rd,25,male,no
3rd,35,male,no
3rd,17,male,no
3rd,32,male,no
3rd,20,male,no
3rd,39,male,no
3rd,39,female,no
3rd,6,female,no
3rd,2,female,no
3rd,17,female,yes
3rd,38,female,no
3rd,9,female,no
3rd,26,male,no
3rd,11,female,no
3rd,4,male,no
3rd,20,male,no
3rd,26,male,no
3rd,25,male,no
3rd,18,female,no
3rd,24,male,no
3rd,35,male,no
3rd,40,male,no
3rd,38,female,yes
3rd,5,male,no
3rd,9,male,no
3rd,3,male,yes
3rd,13,male,no
3rd,23,male,yes
3rd,5,female,yes
3rd,,male,no
3rd,45,female,yes
3rd,23,male,no
3rd,17,female,no
3rd,27,male,no
3rd,23,male,no
3rd,20,male,no
3rd,32,male,no
3rd,33,female,yes
3rd,3,female,yes
3rd,,female,yes
3rd,,female,yes
3rd,,female,yes
3rd,18,female,yes
3rd,40,male,no
3rd,26,male,no
3rd,15,female,yes
3rd,45,female,no
3rd,18,female,no
3rd,27,female,no
3rd,22,male,no
3rd,19,male,no
3rd,26,male,no
3rd,22,male,no
3rd,20,male,no
3rd,32,male,yes
3rd,21,male,no
3rd,18,male,no
3rd,26,male,no
3rd,6,male,no
3rd,,male,no
3rd,,female,no
3rd,9,female,no
3rd,40,male,no
3rd,32,female,no
3rd,,female,no
3rd,26,male,no
3rd,18,female,yes
3rd,20,female,no
3rd,,male,no
3rd,29,male,no
3rd,22,male,no
3rd,22,male,no
3rd,35,male,no
3rd,21,male,yes
3rd,20,female,no
3rd,19,male,no
3rd,18,female,no
3rd,18,male,no
3rd,38,male,no
3rd,,male,no
3rd,30,male,no
3rd,17,male,no
3rd,21,female,no
3rd,21,male,no
3rd,21,male,no
3rd,,male,no
3rd,,female,no
3rd,24,male,no
3rd,33,male,no
3rd,33,male,no
3rd,28,male,no
3rd,16,female,yes
3rd,37,female,no
3rd,28,male,no
3rd,,male,yes
3rd,24,male,no
3rd,21,male,no
3rd,,male,no
3rd,32,male,no
3rd,29,male,no
3rd,26,male,no
3rd,18,male,no
3rd,20,male,no
3rd,19,male,yes
3rd,24,male,no
3rd,24,male,no
3rd,36,male,no
3rd,31,male,no
3rd,31,male,no
3rd,30,female,no
3rd,22,female,yes
3rd,,male,no
3rd,43,male,no
3rd,35,male,no
3rd,27,male,no
3rd,19,male,no
3rd,30,male,no
3rd,36,female,yes
3rd,3,male,yes
3rd,9,male,yes
3rd,59,male,no
3rd,19,male,no
3rd,44,male,no
3rd,17,female,yes
3rd,,male,no
3rd,45,male,yes
3rd,22,female,no
3rd,19,male,no
3rd,29,male,yes
3rd,30,female,yes
3rd,34,male,no
3rd,28,female,no
3rd,0.3333,male,no
3rd,27,male,no
3rd,25,male,no
3rd,24,male,no
3rd,22,male,no
3rd,21,male,no
3rd,17,male,no
3rd,,male,no
3rd,,female,yes
3rd,26,male,no
3rd,33,female,yes
3rd,1,male,yes
3rd,0.1667,female,yes
3rd,25,male,no
3rd,36,male,yes
3rd,36,female,yes
3rd,30,male,yes
3rd,,male,no
3rd,23,male,no
3rd,26,male,no
3rd,19,female,yes
3rd,65,male,no
3rd,,male,no
3rd,42,male,no
3rd,43,male,no
3rd,32,male,no
3rd,19,male,yes
3rd,30,female,yes
3rd,24,female,no
3rd,23,female,yes
3rd,,male,no
3rd,24,female,yes
3rd,24,male,yes
3rd,23,male,no
3rd,22,female,yes
3rd,,male,no
3rd,18,male,no
3rd,16,male,no
3rd,45,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,47,male,no
3rd,5,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,21,female,no
3rd,18,male,no
3rd,9,female,no
3rd,48,female,no
3rd,16,male,no
3rd,,male,no
3rd,,male,no
3rd,25,male,no
3rd,,male,no
3rd,,female,yes
3rd,22,male,no
3rd,16,female,yes
3rd,,female,yes
3rd,33,male,no
3rd,,female,yes
3rd,9,male,yes
3rd,41,male,no
3rd,38,male,no
3rd,40,male,no
3rd,43,female,no
3rd,14,male,no
3rd,16,female,no
3rd,9,male,no
3rd,10,female,no
3rd,6,male,no
3rd,11,male,no
3rd,40,male,no
3rd,32,male,no
3rd,,male,no
3rd,20,male,no
3rd,37,male,no
3rd,28,male,no
3rd,19,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,yes
3rd,,male,no
3rd,,female,no
3rd,,female,yes
3rd,,female,no
3rd,,female,yes
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,female,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,no
3rd,,male,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,female,yes
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,female,yes
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,female,yes
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,female,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,yes
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,female,yes
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,female,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,male,yes
3rd,,male,no
3rd,,female,yes
3rd,,male,no
3rd,,female,no
3rd,,female,no
3rd,,male,no
3rd,,male,no
3rd,,male,no
3rd,,female,no
3rd,,male,no